5200,843.62,25000.00,390.64,752.56,477.78,0.00,837.33,25000.00,386.17,742.77,476.08,0.00,848.11,25000.00,393.84,759.56,478.99,0.00
5210,836.43,25000.00,385.54,741.37,475.84,0.00,833.74,25000.00,383.62,737.17,475.11,0.00,840.93,25000.00,388.73,748.37,477.05,0.00
5220,857.10,25000.00,400.22,773.56,481.42,0.00,855.30,25000.00,398.94,770.76,480.93,0.00,858.90,25000.00,401.50,776.36,481.90,0.00
5230,840.93,25000.00,388.73,748.37,477.05,0.00,837.33,25000.00,386.17,742.77,476.08,0.00,844.52,25000.00,391.28,753.96,478.02,0.00
5240,863.39,25000.00,404.69,783.36,483.11,0.00,858.90,25000.00,401.50,776.36,481.90,0.00,869.68,25000.00,409.16,793.15,484.81,0.00
5250,840.03,25000.00,388.09,748.37,477.05,0.00,837.33,25000.00,386.17,748.37,477.05,0.00,840.93,25000.00,388.73,748.37,477.05,0.00
5260,857.10,25000.00,400.22,773.56,481.42,0.00,855.30,25000.00,398.94,770.76,480.93,0.00,858.90,25000.00,401.50,776.36,481.90,0.00
5270,855.30,25000.00,399.58,772.16,481.17,0.00,851.71,25000.00,398.94,770.76,480.93,0.00,858.90,25000.00,401.50,776.36,481.90,0.00
5280,867.88,25000.00,407.88,790.35,484.33,0.00,866.08,25000.00,406.60,787.55,483.84,0.00,869.68,25000.00,409.16,793.15,484.81,0.00
5290,857.10,25000.00,400.22,773.56,481.42,0.00,855.30,25000.00,398.94,770.76,480.93,0.00,858.90,25000.00,401.50,776.36,481.90,0.00
5300,858.90,25000.00,401.50,776.36,481.90,0.00,855.30,25000.00,398.94,770.76,480.93,0.00,862.49,25000.00,404.05,781.96,482.87,0.00
5310,865.19,25000.00,405.97,786.15,483.60,0.00,858.90,25000.00,401.50,776.36,481.90,0.00,869.68,25000.00,409.16,793.15,484.81,0.00
5320,856.20,25000.00,399.58,772.16,481.17,0.00,851.71,25000.00,396.39,765.16,479.96,0.00,858.90,25000.00,401.50,776.36,481.90,0.00
5330,883.16,25000.00,418.73,814.15,488.45,0.00,880.46,25000.00,416.82,809.95,487.72,0.00,884.05,25000.00,419.37,815.55,488.69,0.00
5340,859.79,25000.00,402.13,777.76,482.14,0.00,858.90,25000.00,401.50,776.36,481.90,0.00,862.49,25000.00,404.05,781.96,482.87,0.00
5350,849.91,25000.00,395.11,762.36,479.48,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,851.71,25000.00,396.39,765.16,479.96,0.00
5360,851.71,25000.00,396.39,765.16,479.96,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,855.30,25000.00,398.94,770.76,480.93,0.00
5370,837.33,25000.00,386.17,742.77,476.08,0.00,837.33,25000.00,386.17,742.77,476.08,0.00,837.33,25000.00,386.17,742.77,476.08,0.00
5380,866.08,25000.00,406.60,787.55,483.84,0.00,862.49,25000.00,404.05,781.96,482.87,0.00,869.68,25000.00,409.16,793.15,484.81,0.00
5390,850.81,25000.00,395.75,763.76,479.72,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,851.71,25000.00,396.39,765.16,479.96,0.00
5400,851.71,25000.00,395.75,763.76,479.72,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,855.30,25000.00,398.94,770.76,480.93,0.00
5410,849.91,25000.00,395.11,762.36,479.48,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,851.71,25000.00,396.39,765.16,479.96,0.00
5420,848.11,25000.00,393.84,759.56,478.99,0.00,844.52,25000.00,391.28,753.96,478.02,0.00,855.30,25000.00,398.94,770.76,480.93,0.00
5430,853.51,25000.00,397.67,767.96,480.45,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,858.90,25000.00,401.50,776.36,481.90,0.00
5440,853.51,25000.00,397.67,767.96,480.45,0.00,851.71,25000.00,396.39,765.16,479.96,0.00,855.30,25000.00,398.94,770.76,480.93,0.00
5450,850.81,25000.00,395.75,763.76,479.72,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,855.30,25000.00,398.94,770.76,480.93,0.00
5460,849.91,25000.00,395.11,762.36,479.48,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,851.71,25000.00,396.39,765.16,479.96,0.00
5470,858.00,25000.00,400.86,774.96,481.66,0.00,848.11,25000.00,393.84,759.56,478.99,0.00,866.08,25000.00,406.60,787.55,483.84,0.00
5480,847.22,25000.00,393.20,758.16,478.99,0.00,840.93,25000.00,388.73,748.37,477.05,0.00,855.30,25000.00,398.94,770.76,480.93,0.00
5490,844.52,25000.00,391.28,753.96,478.02,0.00,844.52,25000.00,391.28,753.96,478.02,0.00,844.52,25000.00,391.28,753.96,478.02,0.00
5500,857.10,25000.00,400.22,773.56,481.42,0.00,855.30,25000.00,398.94,770.76,480.93,0.00,858.90,25000.00,401.50,776.36,481.90,0.00
