4210,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4220,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4230,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4240,920.63,25000.00,445.36,872.52,498.57,0.00,917.89,25000.00,443.41,868.25,497.83,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4250,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4260,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4270,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4280,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4290,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4300,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4310,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4320,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4330,920.63,25000.00,445.36,872.52,498.57,0.00,917.89,25000.00,443.41,868.25,497.83,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4340,919.72,25000.00,444.71,871.10,498.32,0.00,917.89,25000.00,443.41,868.25,497.83,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4350,918.80,25000.00,444.06,869.67,498.08,0.00,917.89,25000.00,443.41,868.25,497.83,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4360,920.63,25000.00,446.01,873.94,498.57,0.00,917.89,25000.00,446.01,873.94,497.83,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
4370,919.72,25000.00,444.71,871.10,498.32,0.00,917.89,25000.00,443.41,868.25,497.83,0.00,921.54,25000.00,446.01,873.94,498.82,0.00
